New code,Area name,Population density (per hectare),Unemployment rate ,Youth Unemployment (claimant) rate 18-24,Proportion of working age people with no qualifications (%) ,Proportion of working age with degree or equivalent and above (%) ,Modelled Household median income estimates ,Crime rates per thousand population ,Median House Price
,,,,,,,,,
E09000001,City of London,28.9,.,1.2,.,.,"£99,390 ",.,"765,000"
E09000002,Barking and Dagenham,57.3,11,7.3,11.3,32.2,"£34,080 ",83.4,"215,000"
E09000003,Barnet,44.5,8.5,3.5,5.2,49,"£54,530 ",62.7,"400,000"
E09000004,Bexley,39.9,7.6,3.8,10.8,33.5,"£44,430 ",51.8,"250,000"
E09000005,Brent,76.1,7.5,6.1,6.2,45.1,"£39,630 ",78.8,"385,000"
E09000006,Bromley,21.7,5.3,3.5,4.3,46.7,"£55,140 ",64.1,"335,000"
E09000007,Camden,109.8,4,5,6.1,61.1,"£67,990 ",123.5,"675,000"
E09000008,Croydon,44.4,4.1,5.3,7,40.6,"£45,120 ",77,"265,000"
E09000009,Ealing,63.5,5.8,5.2,9.1,49.7,"£45,690 ",75.5,"388,000"
E09000010,Enfield,41,3.8,7.3,4.5,43.4,"£41,250 ",69.4,"285,000"
E09000011,Greenwich,58.8,8.1,6.2,10.6,42.2,"£44,370 ",79.4,"317,000"
E09000012,Hackney,141.1,5.9,6.3,10.8,49.2,"£42,690 ",99.6,"433,000"
E09000013,Hammersmith and Fulham,111.8,4.7,3.6,4.9,67.5,"£62,910 ",113.2,"661,000"
E09000014,Haringey,92.7,5.7,7.1,8.8,49.2,"£45,860 ",90.2,"405,000"
E09000015,Harrow,49.8,4.6,4.3,4.2,47.9,"£49,060 ",50.4,"370,000"
E09000016,Havering,22.3,5.3,3.8,10.5,26,"£44,430 ",62.9,"250,000"
E09000017,Hillingdon,25.8,5.8,3.2,8.7,40.2,"£44,950 ",76.6,"307,000"
E09000018,Hounslow,48.9,4.3,4.9,6.5,45.5,"£44,490 ",79.2,"319,950"
E09000019,Islington,153,4.5,6.5,6.2,62.7,"£54,950 ",121.2,"530,000"
E09000020,Kensington and Chelsea,129.2,4.2,4.5,5.2,65.2,"£116,350 ",120.9,"1,195,000"
E09000021,Kingston upon Thames,46.3,4.5,2.8,5.9,53.7,"£56,920 ",58.5,"385,000"
E09000022,Lambeth,121.4,5.9,5.2,6.2,65,"£48,610 ",104.6,"420,000"
E09000023,Lewisham,84.7,5.7,7.5,5.8,53.3,"£43,360 ",77,"315,000"
E09000024,Merton,55.7,4.6,4.7,4.7,58,"£57,160 ",59.7,"385,000"
E09000025,Newham,93.5,9.1,7,11,43.4,"£34,260 ",90.8,"250,000"
E09000026,Redbridge,53.3,7.9,5.4,10.2,44.7,"£45,380 ",69.7,"301,500"
E09000027,Richmond upon Thames,34.3,3.8,2.9,3.2,69.5,"£76,610 ",56.3,"535,000"
E09000028,Southwark,108.2,7.7,6.2,7.6,56.8,"£48,000 ",100.6,"420,000"
E09000029,Sutton,46.1,5.5,3.4,4.3,42.5,"£49,170 ",55.9,"285,000"
E09000030,Tower Hamlets,149.8,9.2,7.3,10,45.7,"£45,720 ",99.9,"383,000"
E09000031,Waltham Forest,71.1,5.4,8,11.6,42.6,"£39,460 ",78,"320,000"
E09000032,Wandsworth,93.8,5.7,3.1,4.3,66.4,"£66,220 ",72.6,"532,500"
E09000033,Westminster,110.4,8.8,3.4,4.5,63.6,"£80,760 ",212.4,"875,000"